,Unnamed: 0,card_number,expiry_date,card_provider,date_payment_confirmed
0,0,30060773296197,09/26,Diners Club / Carte Blanche,2015-11-25
1,1,349624180933183,10/23,American Express,2001-06-18
2,2,3529023891650490,06/23,JCB 16 digit,2000-12-26
3,3,213142929492281,09/27,JCB 15 digit,2011-02-12
4,4,502067329974,10/25,Maestro,1997-03-13
5,5,3506661913512980,11/23,JCB 16 digit,2003-08-25
6,6,377549437870679,07/27,American Express,2006-12-11
7,7,2321541881278150,02/29,Mastercard,1995-08-24
8,8,6011037917693140,02/24,Discover,1998-10-23
9,9,502049986008,07/23,Maestro,2011-04-30
10,10,6501622116456490,10/28,Discover,2006-03-11
11,11,6502495513721380,11/27,Discover,2021-10-11
12,12,3551071736826240,11/31,JCB 16 digit,1993-07-16
13,13,371493449732930,10/29,American Express,2014-11-08
14,14,3536516200696080,01/29,JCB 16 digit,2009-11-29
15,15,5222519319551540,01/26,Mastercard,2019-02-22
16,16,4537509987455280000,02/32,VISA 19 digit,2022-09-24
17,17,6011881097126120,10/26,Discover,1996-12-03
18,18,4204210033998580000,08/28,VISA 19 digit,2019-09-21
19,19,3540126062083770,09/32,JCB 16 digit,2021-04-27
20,20,180093132939478,05/30,JCB 15 digit,2004-12-30
21,21,3579161126932720,02/23,JCB 16 digit,2015-11-16
22,22,4045259395988290,06/28,VISA 16 digit,2011-01-23
23,23,4305628477334070000,07/24,VISA 19 digit,2017-03-06
24,24,6011112632675670,07/31,Discover,1999-02-08
25,25,370629659061970,10/30,American Express,2008-09-27
26,26,3565388078802970,03/32,JCB 16 digit,2016-10-28
27,27,4413511328768020,12/30,VISA 16 digit,1995-08-15
28,28,3510326851192930,10/31,JCB 16 digit,2001-06-30
29,29,30439078921644,12/25,Diners Club / Carte Blanche,1998-05-20
30,30,2296814173210180,06/24,Mastercard,2020-07-09
31,31,2297205767081190,10/30,Mastercard,2012-03-11
32,32,30280604114274,04/32,Diners Club / Carte Blanche,2005-04-22
33,33,4024414397695410000,05/28,VISA 19 digit,1997-10-02
34,34,4529390944325970,08/23,VISA 16 digit,2009-04-15
35,35,60485138139,08/27,Maestro,2022-11-18
36,36,4243023678099,02/23,VISA 13 digit,2021-07-05
37,37,4976058331830470000,08/26,VISA 19 digit,2021-09-29
38,38,4224188732297920,02/24,VISA 16 digit,1997-10-26
39,39,3514396157366920,03/29,JCB 16 digit,2004-11-06
40,40,30158747323244,06/25,Diners Club / Carte Blanche,1998-02-04
41,41,3590999821623690,07/30,JCB 16 digit,2002-01-14
42,42,60457486839,07/27,Maestro,2006-12-31
43,43,4934170565606,08/26,VISA 13 digit,2008-10-10
44,44,36125643138236,06/24,Diners Club / Carte Blanche,1999-03-16
45,45,4499574398661660,01/24,VISA 16 digit,2016-08-07
46,46,30079697561056,07/23,Diners Club / Carte Blanche,2000-08-15
47,47,3569354729407150,06/31,JCB 16 digit,1997-04-18
48,48,213139697145299,03/24,JCB 15 digit,2010-03-01
49,49,676119752563,02/25,Maestro,1995-07-22
50,50,4923545896758580000,01/23,VISA 19 digit,2017-08-15
51,51,4145489239111500,02/30,VISA 16 digit,2018-08-31
52,52,4131871381315060,03/27,VISA 16 digit,2007-07-30
53,53,4850248250585,07/26,VISA 13 digit,1995-12-18
54,54,676231685725,09/25,Maestro,1998-01-30
55,0,372498568017103,07/28,American Express,2009-10-28
56,1,4108484730579010,03/28,VISA 16 digit,1994-08-21
57,2,676293500408,08/24,Maestro,1993-10-26
58,3,581681339767,06/29,Maestro,1998-08-03
59,4,180083117707156,06/30,JCB 15 digit,2012-01-11
60,5,213185617039336,04/23,JCB 15 digit,2005-03-28
61,6,180038452399167,09/27,JCB 15 digit,1999-11-04
62,7,213148437331713,06/28,JCB 15 digit,2004-02-11
63,8,6011852840796870,12/29,Discover,2020-10-14
64,9,6011662146447830,09/32,Discover,2013-04-22
65,10,375909252165187,03/23,American Express,2005-10-07
66,11,30095105471035,07/31,Diners Club / Carte Blanche,2014-10-09
67,12,3584417008059140,05/27,JCB 16 digit,1993-05-09
68,13,2244978562790820,10/29,Mastercard,2007-02-12
69,14,4027528338006,04/28,VISA 13 digit,2013-05-30
70,15,30425667828100,05/26,Diners Club / Carte Blanche,2008-07-03
71,16,2244479907474760,04/32,Mastercard,1995-04-27
72,17,3570781166096810,04/23,JCB 16 digit,2000-12-27
73,18,2310820813218710,07/32,Mastercard,1994-07-23
74,19,4725463191106120000,05/30,VISA 19 digit,2021-07-17
75,20,4319742178425770,10/24,VISA 16 digit,1998-11-06
76,21,4466560959453,01/32,VISA 13 digit,1998-03-16
77,22,30180112075555,10/24,Diners Club / Carte Blanche,1998-02-06
78,23,3517948043479210,03/29,JCB 16 digit,2008-10-10
79,24,3575217498720440,11/26,JCB 16 digit,2013-09-10
80,25,4588947128070,02/28,VISA 13 digit,2003-10-27
81,26,6550095846760120,02/29,Discover,2013-10-19
